,0,,0,,0
0,Control.PGP1,,PGP1,,Control
1,Control.PGP1,,PGP1,,Control
2,Control.PGP1,,PGP1,,Control
3,Control.GM23716,,GM23716,,Control
4,Control.GM23716,,GM23716,,Control
5,Control.GM23716,,GM23716,,Control
6,Control.GM23720,,GM23720,,Control
7,Control.GM23720,,GM23720,,Control
8,Control.GM23720,,GM23720,,Control
9,Control.GM25256,,GM25256,,Control
10,Control.GM25256,,GM25256,,Control
11,Control.GM25256,,GM25256,,Control
12,Control.BXS0110,,BXS0110,,Control
13,Control.BXS0110,,BXS0110,,Control
14,Control.BXS0110,,BXS0110,,Control
15,Control.BXS0111,,BXS0111,,Control
16,Control.BXS0111,,BXS0111,,Control
17,Control.BXS0111,,BXS0111,,Control
18,Control.BYS0112,,BYS0112,,Control
19,Control.BYS0112,,BYS0112,,Control
20,Control.BYS0112,,BYS0112,,Control
21,Control.BXS0114,,BXS0114,,Control
22,Control.BXS0114,,BXS0114,,Control
23,Control.BXS0114,,BXS0114,,Control
24,Control.BXS0115,,BXS0115,,Control
25,Control.BXS0115,,BXS0115,,Control
26,Control.BXS0115,,BXS0115,,Control
27,Control.BXS0116,,BXS0116,,Control
28,Control.BXS0116,,BXS0116,,Control
29,Control.BXS0116,,BXS0116,,Control
30,Control.BXS0117,,BXS0117,,Control
31,Control.BXS0117,,BXS0117,,Control
32,Control.BXS0117,,BXS0117,,Control
33,Control.902,,902,,Control
34,Control.902,,902,,Control
35,Control.902,,902,,Control
36,Case.1601,,1601-1,,Case
37,Case.1601,,1601-2,,Case
38,Case.1601,,1601-3,,Case
39,Case.1401,,1401-1,,Case
40,Case.1401,,1401-2,,Case
41,Case.1401,,1401-3,,Case
42,Case.1001,,1001-1,,Case
43,Case.1001,,1001-2,,Case
44,Case.1001,,1001-3,,Case
45,Case.901,,901-1,,Case
46,Case.901,,901-2,,Case
47,Case.901,,901-3,,Case
